date;ws;wd;nox;no2;o3;pm10;so2;co;pm25
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1998-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1999-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1999-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1999-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1999-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
1999-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2000-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
2001-01-01 00:00:00;0.600000;280;285;39;1;29;4.722500;3.3725000;NA
